area	group	number	pct
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Not chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
ia	Chronically absent	8658	0.1
total	Not chronically absent	341025	0.64978892
total	Chronically absent	524824.2769	0.35021108
txt	Chronically absent	524824.2769	0.35021108
