state	program_code	provider	provider_type	total	male	female	white	minority	male_percent	female_percent	white_percent	minority_percent
Alabama	1003	Alabama A&M University	Traditional	56	17	39	3	53	0.303571429	0.696428571	0.053571429	0.946428571
Alabama	1003	Alabama A&M University	Alternative, IHE-based	76	29	47	16	57	0.381578947	0.618421053	0.219178082	0.780821918
Alabama	9999	Alabama Alternative Route	Alternative, not IHE-based	403	166	233	238	71	0.4160401	0.5839599	0.770226537	0.229773463
Alabama	1006	Alabama State University	Traditional	46	20	26	3	43	0.434782609	0.565217391	0.065217391	0.934782609
Alabama	1006	Alabama State University	Alternative, IHE-based	15	6	9	1	14	0.4	0.6	0.066666667	0.933333333
Alabama	1024	Athens State University	Traditional	620	119	501	550	59	0.191935484	0.808064516	0.903119869	0.096880131
Alabama	1005	Auburn University	Traditional	231	42	189	218	12	0.181818182	0.818181818	0.947826087	0.052173913
Alabama	1005	Auburn University	Alternative, IHE-based	51	13	38	43	6	0.254901961	0.745098039	0.87755102	0.12244898
Alabama	1036	Auburn University - Montgomery	Traditional	118	25	93	51	25	0.211864407	0.788135593	0.671052632	0.328947368
Alabama	1036	Auburn University - Montgomery	Alternative, IHE-based	73	16	57	38	16	0.219178082	0.780821918	0.703703704	0.296296296
Alabama	1064	Birmingham-Southern College	Traditional	54	11	43	47	7	0.203703704	0.796296296	0.87037037	0.12962963
Alabama	1075	Concordia College	Traditional	86	28	58	5	81	0.325581395	0.674418605	0.058139535	0.941860465
Alabama	1068	Faulkner University	Traditional	52	9	43	45	7	0.173076923	0.826923077	0.865384615	0.134615385
Alabama	1068	Faulkner University	Alternative, IHE-based	31	12	19	22	9	0.387096774	0.612903226	0.709677419	0.290322581
Alabama	1303	Huntingdon College	Traditional	86	39	47	71	15	0.453488372	0.546511628	0.825581395	0.174418605
Alabama	1736	Jacksonville State University	Traditional	478	115	363	403	73	0.240585774	0.759414226	0.846638655	0.153361345
Alabama	1736	Jacksonville State University	Alternative, IHE-based	87	19	68	71	15	0.218390805	0.781609195	0.825581395	0.174418605
Alabama	1349	Judson College	Traditional	9	0	9	8	1	0	1	0.888888889	0.111111111
Alabama	1468	Miles College	Traditional	22	3	12	2	13	0.2	0.8	0.133333333	0.866666667
Alabama	1586	Oakwood University	Traditional	99	22	77	0	99	0.222222222	0.777777778	0	1
Alabama	1721	Samford University	Traditional	47	1	46	45	2	0.021276596	0.978723404	0.957446809	0.042553191
Alabama	1721	Samford University	Alternative, IHE-based	44	8	36	42	2	0.181818182	0.818181818	0.954545455	0.045454545
Alabama	1733	Spring Hill College	Traditional	32	3	29	30	2	0.09375	0.90625	0.9375	0.0625
Alabama	1733	Spring Hill College	Alternative, IHE-based	19	4	15	16	3	0.210526316	0.789473684	0.842105263	0.157894737
Alabama	1739	Stillman College	Traditional	11	4	7	4	7	0.363636364	0.636363636	0.363636364	0.636363636
Alabama	1800	Talladega College	Traditional	1	1	0	1	0	1	0	1	0
Alabama	1738	Troy University	Traditional	174	35	139	135	39	0.201149425	0.798850575	0.775862069	0.224137931
Alabama	1738	Troy University	Alternative, IHE-based	3	0	3	1	2	0	1	0.333333333	0.666666667
Alabama	1813	Tuskegee University	Traditional	62	12	50	1	61	0.193548387	0.806451613	0.016129032	0.983870968
Alabama	1858	University of Alabama	Traditional	578	94	484	523	55	0.162629758	0.837370242	0.904844291	0.095155709
Alabama	1858	University of Alabama	Alternative, IHE-based	46	10	36	35	11	0.217391304	0.782608696	0.760869565	0.239130435
Alabama	1856	University of Alabama at Birmingham	Traditional	201	32	169	140	59	0.15920398	0.84079602	0.703517588	0.296482412
Alabama	1856	University of Alabama at Birmingham	Alternative, IHE-based	144	32	112	88	27	0.222222222	0.777777778	0.765217391	0.234782609
Alabama	1854	University of Alabama in Huntsville	Traditional	42	10	32	30	12	0.238095238	0.761904762	0.714285714	0.285714286
Alabama	1854	University of Alabama in Huntsville	Alternative, IHE-based	8	3	5	6	2	0.375	0.625	0.75	0.25
Alabama	1515	University of Mobile	Traditional	38	8	30	33	5	0.210526316	0.789473684	0.868421053	0.131578947
Alabama	1515	University of Mobile	Alternative, IHE-based	2	0	2	1	1	0	1	0.5	0.5
Alabama	1004	University of Montevallo	Traditional	118	14	104	101	16	0.118644068	0.881355932	0.863247863	0.136752137
Alabama	1004	University of Montevallo	Alternative, IHE-based	88	26	62	77	4	0.295454545	0.704545455	0.950617284	0.049382716
Alabama	1735	University of North Alabama	Traditional	131	27	104	112	19	0.20610687	0.79389313	0.854961832	0.145038168
Alabama	1735	University of North Alabama	Alternative, IHE-based	16	6	10	14	2	0.375	0.625	0.875	0.125
Alabama	1880	University of South Alabama	Traditional	186	26	160	138	34	0.139784946	0.860215054	0.802325581	0.197674419
Alabama	1880	University of South Alabama	Alternative, IHE-based	75	11	64	51	20	0.146666667	0.853333333	0.718309859	0.281690141
Alabama	1737	University of West Alabama	Traditional	49	12	37	26	23	0.244897959	0.755102041	0.530612245	0.469387755
Alabama	1737	University of West Alabama	Alternative, IHE-based	70	22	48	48	22	0.314285714	0.685714286	0.685714286	0.314285714
Alaska	4201	Alaska Pacific University	Traditional	13	2	11	10	3	0.153846154	0.846153846	0.769230769	0.230769231
Alaska	4896	University of Alaska Anchorage	Traditional	206	36	170	174	51	0.174757282	0.825242718	0.773333333	0.226666667
Alaska	4866	University of Alaska Fairbanks	Traditional	253	58	195	125	71	0.229249012	0.770750988	0.637755102	0.362244898
Alaska	4897	University of Alaska Southeast	Traditional	203	48	155	106	46	0.236453202	0.763546798	0.697368421	0.302631579
American Samoa	10010	American Samoa Community College	Traditional	63	15	48	0	63	0.238095238	0.761904762	0	1
American Samoa	1610	University of Hawaii-Manoa: American Samoa cohort	Traditional	105	20	85	0	105	0.19047619	0.80952381	0	1
Arizona	171	American Board for Certification of Teacher Excellence	Alternative, not IHE-based	95	0	0	0	0
Arizona	108	Arizona Christian University	Traditional	103	43	60	88	39	0.417475728	0.582524272	0.692913386	0.307086614
Arizona	155	Arizona State University - Mary Lou Fulton Teachers College	Traditional	2644	586	2058	1569	1002	0.221633888	0.778366112	0.610268378	0.389731622
Arizona	155	Arizona State University - Mary Lou Fulton Teachers College	Alternative, IHE-based	138	44	94	89	48	0.31884058	0.68115942	0.649635036	0.350364964
Arizona	156	Arizona Teaching Fellows	Alternative, not IHE-based	10	3	7	6	3	0.3	0.7	0.666666667	0.333333333
Arizona	104	Grand Canyon University	Traditional	10074	1483	8591	5682	4392	0.147210641	0.852789359	0.564026206	0.435973794
Arizona	104	Grand Canyon University	Alternative, IHE-based	89	25	64	55	34	0.280898876	0.719101124	0.617977528	0.382022472
Arizona	127	Northern Arizona University	Traditional	2037	393	1644	1383	641	0.192930781	0.807069219	0.683300395	0.316699605
Arizona	127	Northern Arizona University	Alternative, IHE-based	14	3	11	4	10	0.214285714	0.785714286	0.285714286	0.714285714
Arizona	128	Northern Arizona University - Yuma	Traditional	45	6	39	14	31	0.133333333	0.866666667	0.311111111	0.688888889
Arizona	106	Ottawa University	Traditional	134	18	116	71	33	0.134328358	0.865671642	0.682692308	0.317307692
Arizona	106	Ottawa University	Alternative, IHE-based	12	4	8	11	4	0.333333333	0.666666667	0.733333333	0.266666667
Arizona	116	Pima Community College	Traditional	59	26	32	48	10	0.448275862	0.551724138	0.827586207	0.172413793
Arizona	116	Pima Community College	Alternative, IHE-based	91	36	55	63	28	0.395604396	0.604395604	0.692307692	0.307692308
Arizona	107	Prescott College	Traditional	69	53	16	40	29	0.768115942	0.231884058	0.579710145	0.420289855
Arizona	111	Rio Salado College	Traditional	229	63	163	147	52	0.278761062	0.721238938	0.738693467	0.261306533
Arizona	111	Rio Salado College	Alternative, IHE-based	250	88	156	152	56	0.360655738	0.639344262	0.730769231	0.269230769
